{'_id': ObjectId('5be0b686fbc42b079c1126c2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -91, 'TIME': ['18:30:46'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b686fbc42b079c1126c3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -93, 'TIME': ['18:30:46'], 'DIST': 100.0}
{'_id': ObjectId('5be0b686fbc42b079c1126c4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -16, 'TIME': ['18:30:46'], 'DIST': 0.01412537544622754}
{'_id': ObjectId('5be0b686fbc42b079c1126c5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -36, 'TIME': ['18:30:46'], 'DIST': 0.14125375446227545}
{'_id': ObjectId('5be0b686fbc42b079c1126c6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -78, 'TIME': ['18:30:46'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b686fbc42b079c1126c7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'a8:7c:01:22:27:56', 'RSSI': -92, 'TIME': ['18:30:46'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b686fbc42b079c1126c8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -82, 'TIME': ['18:30:46'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b686fbc42b079c1126c9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '24:f5:aa:69:a4:8a', 'RSSI': -82, 'TIME': ['18:30:46'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b689fbc42b079c1126ca'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -94, 'TIME': ['18:30:50'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b689fbc42b079c1126cb'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -91, 'TIME': ['18:30:50'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b689fbc42b079c1126cc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -77, 'TIME': ['18:30:50'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0b689fbc42b079c1126cd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -79, 'TIME': ['18:30:50'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b689fbc42b079c1126ce'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -92, 'TIME': ['18:30:50'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b689fbc42b079c1126cf'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -91, 'TIME': ['18:30:50'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b689fbc42b079c1126d0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -91, 'TIME': ['18:30:50'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b689fbc42b079c1126d1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -92, 'TIME': ['18:30:50'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b689fbc42b079c1126d2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -96, 'TIME': ['18:30:50'], 'DIST': 141.2537544622754}
{'_id': ObjectId('5be0b689fbc42b079c1126d3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -16, 'TIME': ['18:30:50'], 'DIST': 0.01412537544622754}
{'_id': ObjectId('5be0b689fbc42b079c1126d4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -43, 'TIME': ['18:30:50'], 'DIST': 0.31622776601683794}
{'_id': ObjectId('5be0b689fbc42b079c1126d5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -78, 'TIME': ['18:30:50'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b689fbc42b079c1126d6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'a8:7c:01:22:27:56', 'RSSI': -92, 'TIME': ['18:30:50'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b689fbc42b079c1126d7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -82, 'TIME': ['18:30:50'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b689fbc42b079c1126d8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '24:f5:aa:69:a4:8a', 'RSSI': -82, 'TIME': ['18:30:50'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b689fbc42b079c1126d9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -52, 'TIME': ['18:30:50'], 'DIST': 0.8912509381337456}
{'_id': ObjectId('5be0b68dfbc42b079c1126da'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -94, 'TIME': ['18:30:53'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b68dfbc42b079c1126db'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -91, 'TIME': ['18:30:53'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b68dfbc42b079c1126dc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -76, 'TIME': ['18:30:53'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0b68dfbc42b079c1126dd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -80, 'TIME': ['18:30:53'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0b68dfbc42b079c1126de'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -94, 'TIME': ['18:30:53'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b68dfbc42b079c1126df'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -91, 'TIME': ['18:30:53'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b68dfbc42b079c1126e0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -95, 'TIME': ['18:30:53'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b68dfbc42b079c1126e1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -90, 'TIME': ['18:30:53'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b68dfbc42b079c1126e2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -93, 'TIME': ['18:30:53'], 'DIST': 100.0}
{'_id': ObjectId('5be0b68dfbc42b079c1126e3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -16, 'TIME': ['18:30:53'], 'DIST': 0.01412537544622754}
{'_id': ObjectId('5be0b68dfbc42b079c1126e4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -37, 'TIME': ['18:30:53'], 'DIST': 0.15848931924611134}
