{'_id': ObjectId('5be0b9d7fbc42b097900fb71'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -18, 'TIME': ['18:44:55'], 'DIST': 0.01778279410038923}
{'_id': ObjectId('5be0b9dafbc42b097900fb72'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -77, 'TIME': ['18:44:58'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0b9dafbc42b097900fb73'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -77, 'TIME': ['18:44:58'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0b9dafbc42b097900fb74'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -91, 'TIME': ['18:44:58'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b9dafbc42b097900fb75'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -79, 'TIME': ['18:44:58'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b9dafbc42b097900fb76'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -92, 'TIME': ['18:44:58'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9dafbc42b097900fb77'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -92, 'TIME': ['18:44:58'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9dafbc42b097900fb78'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -90, 'TIME': ['18:44:58'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b9dafbc42b097900fb79'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -94, 'TIME': ['18:44:58'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9dafbc42b097900fb7a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -95, 'TIME': ['18:44:58'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9dafbc42b097900fb7b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -78, 'TIME': ['18:44:58'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9dafbc42b097900fb7c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '2c:4d:54:73:e4:73', 'RSSI': -85, 'TIME': ['18:44:58'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b9dafbc42b097900fb7d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -73, 'TIME': ['18:44:58'], 'DIST': 10.0}
{'_id': ObjectId('5be0b9dafbc42b097900fb7e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -35, 'TIME': ['18:44:58'], 'DIST': 0.12589254117941673}
{'_id': ObjectId('5be0b9dafbc42b097900fb7f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -17, 'TIME': ['18:44:58'], 'DIST': 0.015848931924611134}
{'_id': ObjectId('5be0b9defbc42b097900fb80'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -80, 'TIME': ['18:45:01'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0b9defbc42b097900fb81'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -77, 'TIME': ['18:45:01'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0b9defbc42b097900fb82'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -94, 'TIME': ['18:45:01'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9defbc42b097900fb83'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -81, 'TIME': ['18:45:01'], 'DIST': 25.118864315095795}
{'_id': ObjectId('5be0b9defbc42b097900fb84'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -95, 'TIME': ['18:45:01'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9defbc42b097900fb85'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -90, 'TIME': ['18:45:01'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b9defbc42b097900fb86'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -87, 'TIME': ['18:45:01'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0b9defbc42b097900fb87'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -94, 'TIME': ['18:45:01'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9defbc42b097900fb88'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -95, 'TIME': ['18:45:01'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9defbc42b097900fb89'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -78, 'TIME': ['18:45:01'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9defbc42b097900fb8a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '2c:4d:54:73:e4:73', 'RSSI': -85, 'TIME': ['18:45:01'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b9defbc42b097900fb8b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -73, 'TIME': ['18:45:01'], 'DIST': 10.0}
{'_id': ObjectId('5be0b9defbc42b097900fb8c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -35, 'TIME': ['18:45:01'], 'DIST': 0.12589254117941673}
{'_id': ObjectId('5be0b9defbc42b097900fb8d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -18, 'TIME': ['18:45:01'], 'DIST': 0.01778279410038923}
{'_id': ObjectId('5be0b9e1fbc42b097900fb8e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -45, 'TIME': ['18:45:05'], 'DIST': 0.3981071705534972}
{'_id': ObjectId('5be0b9e1fbc42b097900fb8f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -77, 'TIME': ['18:45:05'], 'DIST': 15.848931924611133}
