{'_id': ObjectId('5be0be40fbc42b0a26e9c223'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:43'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be43fbc42b0a26e9c23c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:46'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be46fbc42b0a26e9c255'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:49'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be49fbc42b0a26e9c26e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:53'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be4dfbc42b0a26e9c287'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:56'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be50fbc42b0a26e9c2a0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:59'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be54fbc42b0a26e9c2b9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:04:03'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be57fbc42b0a26e9c2d3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:04:06'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0be5afbc42b0a26e9c2ed'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:04:10'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0be5efbc42b0a26e9c307'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:04:13'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0be61fbc42b0a26e9c321'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['19:04:16'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0be64fbc42b0a26e9c33b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -78, 'TIME': ['19:04:20'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0be68fbc42b0a26e9c355'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -78, 'TIME': ['19:04:23'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0be6bfbc42b0a26e9c36f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -78, 'TIME': ['19:04:26'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0be6efbc42b0a26e9c389'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -78, 'TIME': ['19:04:30'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0be72fbc42b0a26e9c3a3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -78, 'TIME': ['19:04:33'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0be75fbc42b0a26e9c3bd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -78, 'TIME': ['19:04:37'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0be78fbc42b0a26e9c3d7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['19:04:40'], 'DIST': 15.848931924611133}

