{'_id': ObjectId('5be0564dfbc42b1464ccf462'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -82, 'TIME': ['11:40:13'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be05650fbc42b1464ccf473'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -86, 'TIME': ['11:40:16'], 'DIST': 44.6683592150963}
{'_id': ObjectId('5be05654fbc42b1464ccf484'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -86, 'TIME': ['11:40:19'], 'DIST': 44.6683592150963}
{'_id': ObjectId('5be05657fbc42b1464ccf495'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['11:40:23'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0565afbc42b1464ccf4a6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['11:40:26'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0565dfbc42b1464ccf4b7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['11:40:29'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be05661fbc42b1464ccf4c8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['11:40:33'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be05664fbc42b1464ccf4d9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:40:36'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be05667fbc42b1464ccf4ea'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:40:39'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0566bfbc42b1464ccf4fb'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:40:43'], 'DIST': 70.79457843841381}
