{'_id': ObjectId('5be05910fbc42b1681f19a7a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:00'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be05914fbc42b1681f19a8d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:04'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be05917fbc42b1681f19aa0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:07'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0591afbc42b1681f19ab3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:10'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0591efbc42b1681f19ac6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:14'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be05923fbc42b1681f19ad9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:17'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be05924fbc42b1681f19aec'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:20'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be05928fbc42b1681f19aff'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:24'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0592bfbc42b1681f19b12'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:27'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0592efbc42b1681f19b25'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['11:52:30'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be05932fbc42b1681f19b38'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:52:34'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05935fbc42b1681f19b4b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:52:37'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05938fbc42b1681f19b5e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:52:40'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be0593cfbc42b1681f19b71'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:52:44'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be0593ffbc42b1681f19b84'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:52:47'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05942fbc42b1681f19b97'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:52:50'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05946fbc42b1681f19baa'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:52:54'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05949fbc42b1681f19bbd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:52:57'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be0594cfbc42b1681f19bd0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:00'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05950fbc42b1681f19be3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:04'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05956fbc42b1681f19bf6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:07'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05956fbc42b1681f19c09'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:10'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be0595afbc42b1681f19c1c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:14'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be0595dfbc42b1681f19c2f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:17'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05960fbc42b1681f19c42'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:20'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05964fbc42b1681f19c55'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:24'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05967fbc42b1681f19c68'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:27'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be0596bfbc42b1681f19c7b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:31'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be0596efbc42b1681f19c8e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:34'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05971fbc42b1681f19ca1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:37'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05975fbc42b1681f19cb4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:41'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05978fbc42b1681f19cc7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:44'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be0597bfbc42b1681f19cda'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -71, 'TIME': ['11:53:47'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be0597ffbc42b1681f19ced'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['11:53:51'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be05982fbc42b1681f19d00'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['11:53:54'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be05985fbc42b1681f19d13'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['11:53:57'], 'DIST': 14.12537544622754}
