{'_id': ObjectId('5be0555ffbc42b1464ccefd0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -58, 'TIME': ['11:36:15'], 'DIST': 1.7782794100389228}
{'_id': ObjectId('5be0555ffbc42b1464ccefd1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -34, 'TIME': ['11:36:15'], 'DIST': 0.11220184543019636}
{'_id': ObjectId('5be0555ffbc42b1464ccefd2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -80, 'TIME': ['11:36:15'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0555ffbc42b1464ccefd3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -91, 'TIME': ['11:36:15'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be05563fbc42b1464ccefd4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -87, 'TIME': ['11:36:19'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be05563fbc42b1464ccefd5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -94, 'TIME': ['11:36:19'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be05563fbc42b1464ccefd6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -71, 'TIME': ['11:36:19'], 'DIST': 7.943282347242816}
{'_id': ObjectId('5be05563fbc42b1464ccefd7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -76, 'TIME': ['11:36:19'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be05563fbc42b1464ccefd8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -94, 'TIME': ['11:36:19'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be05563fbc42b1464ccefd9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -93, 'TIME': ['11:36:19'], 'DIST': 100.0}
{'_id': ObjectId('5be05563fbc42b1464ccefda'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -93, 'TIME': ['11:36:19'], 'DIST': 100.0}
{'_id': ObjectId('5be05563fbc42b1464ccefdb'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -78, 'TIME': ['11:36:19'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be05563fbc42b1464ccefdc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -48, 'TIME': ['11:36:19'], 'DIST': 0.5623413251903491}
{'_id': ObjectId('5be05563fbc42b1464ccefdd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -34, 'TIME': ['11:36:19'], 'DIST': 0.11220184543019636}
{'_id': ObjectId('5be05563fbc42b1464ccefde'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -80, 'TIME': ['11:36:19'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be05563fbc42b1464ccefdf'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -91, 'TIME': ['11:36:19'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be05566fbc42b1464ccefe0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -78, 'TIME': ['11:36:22'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be05566fbc42b1464ccefe1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -94, 'TIME': ['11:36:22'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be05566fbc42b1464ccefe2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -65, 'TIME': ['11:36:22'], 'DIST': 3.9810717055349722}
{'_id': ObjectId('5be05566fbc42b1464ccefe3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -76, 'TIME': ['11:36:22'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be05566fbc42b1464ccefe4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -96, 'TIME': ['11:36:22'], 'DIST': 141.2537544622754}
{'_id': ObjectId('5be05566fbc42b1464ccefe5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -92, 'TIME': ['11:36:22'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be05566fbc42b1464ccefe6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -93, 'TIME': ['11:36:22'], 'DIST': 100.0}
{'_id': ObjectId('5be05566fbc42b1464ccefe7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -86, 'TIME': ['11:36:22'], 'DIST': 44.6683592150963}
{'_id': ObjectId('5be05566fbc42b1464ccefe8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -48, 'TIME': ['11:36:22'], 'DIST': 0.5623413251903491}
{'_id': ObjectId('5be05566fbc42b1464ccefe9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -34, 'TIME': ['11:36:22'], 'DIST': 0.11220184543019636}
{'_id': ObjectId('5be05566fbc42b1464ccefea'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -80, 'TIME': ['11:36:22'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be05566fbc42b1464ccefeb'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -91, 'TIME': ['11:36:22'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be05569fbc42b1464ccefec'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -78, 'TIME': ['11:36:25'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be05569fbc42b1464ccefed'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -94, 'TIME': ['11:36:25'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be05569fbc42b1464ccefee'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -69, 'TIME': ['11:36:25'], 'DIST': 6.309573444801933}
{'_id': ObjectId('5be05569fbc42b1464ccefef'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -76, 'TIME': ['11:36:25'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be05569fbc42b1464cceff0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -96, 'TIME': ['11:36:25'], 'DIST': 141.2537544622754}
{'_id': ObjectId('5be05569fbc42b1464cceff1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -88, 'TIME': ['11:36:25'], 'DIST': 56.23413251903491}
{'_id': ObjectId('5be05569fbc42b1464cceff2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -95, 'TIME': ['11:36:25'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be05569fbc42b1464cceff3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -86, 'TIME': ['11:36:25'], 'DIST': 44.6683592150963}
{'_id': ObjectId('5be05569fbc42b1464cceff4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -57, 'TIME': ['11:36:25'], 'DIST': 1.5848931924611136}
{'_id': ObjectId('5be05569fbc42b1464cceff5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -34, 'TIME': ['11:36:25'], 'DIST': 0.11220184543019636}
{'_id': ObjectId('5be05569fbc42b1464cceff6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -85, 'TIME': ['11:36:25'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be05569fbc42b1464cceff7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -91, 'TIME': ['11:36:25'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0556dfbc42b1464cceff8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -76, 'TIME': ['11:36:29'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0556dfbc42b1464cceff9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -91, 'TIME': ['11:36:29'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0556dfbc42b1464cceffa'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -69, 'TIME': ['11:36:29'], 'DIST': 6.309573444801933}
{'_id': ObjectId('5be0556dfbc42b1464cceffb'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -77, 'TIME': ['11:36:29'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0556dfbc42b1464cceffc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -96, 'TIME': ['11:36:29'], 'DIST': 141.2537544622754}
{'_id': ObjectId('5be0556dfbc42b1464cceffd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -94, 'TIME': ['11:36:29'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0556dfbc42b1464cceffe'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -92, 'TIME': ['11:36:29'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0556dfbc42b1464ccefff'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -86, 'TIME': ['11:36:29'], 'DIST': 44.6683592150963}
{'_id': ObjectId('5be0556dfbc42b1464ccf000'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -54, 'TIME': ['11:36:29'], 'DIST': 1.1220184543019633}
{'_id': ObjectId('5be0556dfbc42b1464ccf001'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -31, 'TIME': ['11:36:29'], 'DIST': 0.07943282347242814}
{'_id': ObjectId('5be0556dfbc42b1464ccf002'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -85, 'TIME': ['11:36:29'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0556dfbc42b1464ccf003'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -91, 'TIME': ['11:36:29'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be05570fbc42b1464ccf004'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -86, 'TIME': ['11:36:32'], 'DIST': 44.6683592150963}
